symbol,name,exchange,index,isin
0351.KL,LIM SEONG HAI CAPITAL BERHAD,XKLS,,
0352.KL,WTEC GROUP BERHAD,XKLS,,
0353.KL,WEST RIVER BERHAD,XKLS,,
0355.KL,FIBROMAT (M) BERHAD,XKLS,,
0356.KL,PEOPLELOGY BERHAD,XKLS,,
0357.KL,OASIS HOME HOLDING BERHAD,XKLS,,
0358.KL,ICT ZONE ASIA BERHAD,XKLS,,
0359.KL,HARTANAH KENYALANG BERHAD,XKLS,,
0360.KL,SIGNATURE ALLIANCE GROUP BERHAD,XKLS,,
0361.KL,PAN MERCHANT BERHAD,XKLS,,
0362.KL,ASM AUTOMATION GROUP BERHAD,XKLS,,
0363.KL,PMCK BERHAD,XKLS,,
0365.KL,A1 A.K. KOH GROUP BERHAD,XKLS,,
0366.KL,ICENTS GROUP HOLDINGS BERHAD,XKLS,,
0367.KL,ENPROSERVE GROUP BERHAD,XKLS,,
0368.KL,OXFORD INNOTECH BERHAD,XKLS,,
0369.KL,JS SOLAR HOLDING BERHAD,XKLS,,
0370.KL,EXPRESS POWERR SOLUTIONS (M) BERHAD,XKLS,,
0371.KL,CAMAROE BERHAD,XKLS,,
0372.KL,CHEEDING HOLDINGS BERHAD,XKLS,,
0373.KL,VERDANT SOLAR HOLDINGS BERHAD,XKLS,,
0375.KL,THMY HOLDINGS BERHAD,XKLS,,
0376.KL,INSIGHTS ANALYTICS BERHAD,XKLS,,
0377.KL,POWERTECHNIC GROUP BERHAD,XKLS,,
0378.KL,FARMIERA BERHAD,XKLS,,
0379.KL,PMW INTERNATIONAL BERHAD,XKLS,,
0380.KL,AQUAWALK GROUP BERHAD,XKLS,,
0381.KL,POLYMER LINK HOLDINGS BERHAD,XKLS,,
0382.KL,FOODIE MEDIA BERHAD,XKLS,,
0383.KL,PSP ENERGY BERHAD,XKLS,,
0385.KL,BMS HOLDINGS BERHAD,XKLS,,
0386.KL,SBS NEXUS BERHAD,XKLS,,
0387.KL,GUAN HUAT SENG HOLDINGS BERHAD,XKLS,,
0388.KL,SEMICO CAPITAL BERHAD,XKLS,,
0389.KL,ONE GASMASTER HOLDINGS BERHAD,XKLS,,
0390.KL,ISF GROUP BERHAD,XKLS,,
0391.KL,AMBEST GROUP BERHAD,XKLS,,
0392.KL,KEE MING GROUP BERHAD,XKLS,,
0393.KL,TEAMSTAR BERHAD,XKLS,,
0395.KL,OGX GROUP BERHAD,XKLS,,
0396.KL,ADNEX GROUP BERHAD,XKLS,,
0397.KL,5E RESOURCES HOLDINGS BERHAD,XKLS,,
0398.KL,GOLDEN DESTINATIONS GROUP BERHAD,XKLS,,
0399.KL,AMS ADVANCED MATERIAL BERHAD,XKLS,,
0450.KL,MANFORCE GROUP BERHAD,XKLS,,
0451.KL,INSPACE CREATION BERHAD,XKLS,,
0452.KL,GOLD LI HOLDINGS BERHAD,XKLS,,
0453.KL,EI POWER BERHAD,XKLS,,
1015.KL,AMMB HOLDINGS BERHAD,XKLS,,
1023.KL,CIMB GROUP HOLDINGS BERHAD,XKLS,,MYL1023OO000
1058.KL,MANULIFE HOLDINGS BERHAD,XKLS,,
1066.KL,RHB BANK BERHAD,XKLS,,MYL1066OO005
1082.KL,HONG LEONG FINANCIAL GROUP BERHAD,XKLS,,MYL1082OO002
1147.KL,GLOBAL ORIENTAL BERHAD,XKLS,,
1155.KL,MALAYAN BANKING BERHAD,XKLS,,MYL1155OO000
1163.KL,ALLIANZ MALAYSIA BERHAD,XKLS,,
1171.KL,MBSB BERHAD,XKLS,,
1198.KL,MAA GROUP BERHAD,XKLS,,
1287.KL,EXSIM HOSPITALITY BERHAD,XKLS,,
1295.KL,PUBLIC BANK BERHAD,XKLS,,MYL1295OO007
1368.KL,UEM EDGENTA BERHAD,XKLS,,
1481.KL,ADVANCE SYNERGY BERHAD,XKLS,,
1503.KL,GUOCOLAND (MALAYSIA) BERHAD,XKLS,,
1538.KL,SYMPHONY LIFE BERHAD,XKLS,,
1562.KL,SPORTS TOTO BERHAD,XKLS,,
1589.KL,ISKANDAR WATERFRONT CITY BERHAD,XKLS,,
1619.KL,DRB-HICOM BERHAD,XKLS,,
1643.KL,LANDMARKS BERHAD,XKLS,,
1651.KL,MALAYSIAN RESOURCES CORPORATION BERHAD,XKLS,,
1694.KL,MENANG CORPORATION (M) BERHAD,XKLS,,
1724.KL,PARAMOUNT CORPORATION BERHAD,XKLS,,
1818.KL,BURSA MALAYSIA BERHAD,XKLS,,MYL1818OO009
1899.KL,BATU KAWAN BERHAD,XKLS,,
1929.KL,CHIN TECK PLANTATIONS BERHAD,XKLS,,
1961.KL,IOI CORPORATION BERHAD,XKLS,,MYL1961OO005
1996.KL,KRETAM HOLDINGS BERHAD,XKLS,,
2038.KL,NEGRI SEMBILAN OIL PALMS BERHAD,XKLS,,
2054.KL,TDM BERHAD,XKLS,,
2062.KL,HARBOUR-LINK GROUP BERHAD,XKLS,,
2089.KL,UNITED PLANTATIONS BERHAD,XKLS,,
2097.KL,META BRIGHT GROUP BERHAD,XKLS,,
2127.KL,COMFORT GLOVES BERHAD,XKLS,,
2135.KL,GOPENG BERHAD,XKLS,,
2143.KL,ECM LIBRA GROUP BERHAD,XKLS,,
2224.KL,SELANGOR DREDGING BERHAD,XKLS,,
2259.KL,TALAM TRANSFORM BERHAD,XKLS,,
2283.KL,ZELAN BERHAD,XKLS,,
2291.KL,GENTING PLANTATIONS BERHAD,XKLS,,
2305.KL,AYER HOLDINGS BERHAD,XKLS,,
2429.KL,TANCO HOLDINGS BERHAD,XKLS,,
2445.KL,KUALA LUMPUR KEPONG BERHAD,XKLS,,MYL2445OO003
2453.KL,KLUANG RUBBER COMPANY (MALAYA) BERHAD,XKLS,,
2488.KL,ALLIANCE BANK MALAYSIA BERHAD,XKLS,,
2542.KL,RIVERVIEW RUBBER ESTATES BERHAD,XKLS,,
2569.KL,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,XKLS,,
2593.KL,UNITED MALACCA BERHAD,XKLS,,
2607.KL,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,XKLS,,
2658.KL,AJINOMOTO (MALAYSIA) BERHAD,XKLS,,
2674.KL,ALCOM GROUP BERHAD,XKLS,,
2682.KL,PARKWOOD HOLDINGS BERHAD,XKLS,,
2739.KL,TECHNA-X BERHAD,XKLS,,
2755.KL,FCW HOLDINGS BERHAD,XKLS,,
2828.KL,C.I. HOLDINGS BERHAD,XKLS,,
2836.KL,CARLSBERG BREWERY MALAYSIA BERHAD,XKLS,,
2852.KL,CAHYA MATA SARAWAK BERHAD,XKLS,,
2984.KL,FACB INDUSTRIES INCORPORATED BERHAD,XKLS,,
3018.KL,OLYMPIA INDUSTRIES BERHAD,XKLS,,
3026.KL,DUTCH LADY MILK INDUSTRIES BERHAD,XKLS,,
3034.KL,HAP SENG CONSOLIDATED BERHAD,XKLS,,MYL3034OO006
3042.KL,PETRON MALAYSIA REFINING & MARKETING BHD,XKLS,,
3069.KL,MEGA FIRST CORPORATION BERHAD,XKLS,,
3107.KL,FIMA CORPORATION BERHAD,XKLS,,
3158.KL,YNH PROPERTY BERHAD,XKLS,,
3174.KL,LAND & GENERAL BERHAD,XKLS,,
3182.KL,GENTING BERHAD,XKLS,,MYL3182OO005
3204.KL,GEORGE KENT (MALAYSIA) BERHAD,XKLS,,
3239.KL,BERJAYA ASSETS BERHAD,XKLS,,
3247.KL,GUH HOLDINGS BERHAD,XKLS,,
3255.KL,HEINEKEN MALAYSIA BERHAD,XKLS,,
3298.KL,HEXZA CORPORATION BERHAD,XKLS,,
3301.KL,HONG LEONG INDUSTRIES BERHAD,XKLS,,
3336.KL,IJM CORPORATION BERHAD,XKLS,,MYL3336OO008
3379.KL,INSAS BERHAD,XKLS,,
3395.KL,BERJAYA CORPORATION BERHAD,XKLS,,
3417.KL,EASTERN & ORIENTAL BERHAD,XKLS,,
3441.KL,JOHAN HOLDINGS BERHAD,XKLS,,
3476.KL,KECK SENG (MALAYSIA) BERHAD,XKLS,,
3514.KL,MARCO HOLDINGS BERHAD,XKLS,,
3557.KL,ECOFIRST CONSOLIDATED BHD,XKLS,,
3565.KL,WCE HOLDINGS BERHAD,XKLS,,
3573.KL,LIEN HOE CORPORATION BERHAD,XKLS,,
3611.KL,PARAGON GLOBE BERHAD,XKLS,,
3662.KL,MALAYAN FLOUR MILLS BERHAD,XKLS,,
3689.KL,FRASER & NEAVE HOLDINGS BHD,XKLS,,
3719.KL,PANASONIC MANUFACTURING MALAYSIA BERHAD,XKLS,,
3743.KL,SUNSURIA BERHAD,XKLS,,
3778.KL,MELEWAR INDUSTRIAL GROUP BERHAD,XKLS,,
